ltl_formula,utterance
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! c b & U ! h c & U ! d h F d & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! d b & U ! c d & U ! h c F h & U ! a U a U !a b & U ! b U b U !b d & U ! d U d U !d c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! d b & U ! h d & U ! c h F c & U ! a U a U !a b & U ! b U b U !b d & U ! d U d U !d h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! h b & U ! c h & U ! d c F d & U ! a U a U !a b & U ! b U b U !b h & U ! h U h U !h c U ! c U c U !c d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b a & U ! h b & U ! d h & U ! c d F c & U ! a U a U !a b & U ! b U b U !b h & U ! h U h U !h d U ! d U d U !d c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! b c & U ! d b & U ! h d F h & U ! a U a U !a c & U ! c U c U !c b & U ! b U b U !b d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! b c & U ! h b & U ! d h F d & U ! a U a U !a c & U ! c U c U !c b & U ! b U b U !b h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! d c & U ! b d & U ! h b F h & U ! a U a U !a c & U ! c U c U !c d & U ! d U d U !d b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! d c & U ! h d & U ! b h F b & U ! a U a U !a c & U ! c U c U !c d & U ! d U d U !d h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! h c & U ! b h & U ! d b F d & U ! a U a U !a c & U ! c U c U !c h & U ! h U h U !h b U ! b U b U !b d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c a & U ! h c & U ! d h & U ! b d F b & U ! a U a U !a c & U ! c U c U !c h & U ! h U h U !h d U ! d U d U !d b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! b d & U ! c b & U ! h c F h & U ! a U a U !a d & U ! d U d U !d b & U ! b U b U !b c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! b d & U ! h b & U ! c h F c & U ! a U a U !a d & U ! d U d U !d b & U ! b U b U !b h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! c d & U ! b c & U ! h b F h & U ! a U a U !a d & U ! d U d U !d c & U ! c U c U !c b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! c d & U ! h c & U ! b h F b & U ! a U a U !a d & U ! d U d U !d c & U ! c U c U !c h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! h d & U ! b h & U ! c b F c & U ! a U a U !a d & U ! d U d U !d h & U ! h U h U !h b U ! b U b U !b c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d a & U ! h d & U ! c h & U ! b c F b & U ! a U a U !a d & U ! d U d U !d h & U ! h U h U !h c U ! c U c U !c b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! b h & U ! c b & U ! d c F d & U ! a U a U !a h & U ! h U h U !h b & U ! b U b U !b c U ! c U c U !c d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! b h & U ! d b & U ! c d F c & U ! a U a U !a h & U ! h U h U !h b & U ! b U b U !b d U ! d U d U !d c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! c h & U ! b c & U ! d b F d & U ! a U a U !a h & U ! h U h U !h c & U ! c U c U !c b U ! b U b U !b d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! c h & U ! d c & U ! b d F b & U ! a U a U !a h & U ! h U h U !h c & U ! c U c U !c d U ! d U d U !d b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! d h & U ! b d & U ! c b F c & U ! a U a U !a h & U ! h U h U !h d & U ! d U d U !d b U ! b U b U !b c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h a & U ! d h & U ! c d & U ! b c F b & U ! a U a U !a h & U ! h U h U !h d & U ! d U d U !d c U ! c U c U !c b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! c a & U ! d c & U ! h d F h & U ! b U b U !b a & U ! a U a U !a c & U ! c U c U !c d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! c a & U ! h c & U ! d h F d & U ! b U b U !b a & U ! a U a U !a c & U ! c U c U !c h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! d a & U ! c d & U ! h c F h & U ! b U b U !b a & U ! a U a U !a d & U ! d U d U !d c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! d a & U ! h d & U ! c h F c & U ! b U b U !b a & U ! a U a U !a d & U ! d U d U !d h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! h a & U ! c h & U ! d c F d & U ! b U b U !b a & U ! a U a U !a h & U ! h U h U !h c U ! c U c U !c d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a b & U ! h a & U ! d h & U ! c d F c & U ! b U b U !b a & U ! a U a U !a h & U ! h U h U !h d U ! d U d U !d c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! a c & U ! d a & U ! h d F h & U ! b U b U !b c & U ! c U c U !c a & U ! a U a U !a d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! a c & U ! h a & U ! d h F d & U ! b U b U !b c & U ! c U c U !c a & U ! a U a U !a h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! d c & U ! a d & U ! h a F h & U ! b U b U !b c & U ! c U c U !c d & U ! d U d U !d a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! d c & U ! h d & U ! a h F a & U ! b U b U !b c & U ! c U c U !c d & U ! d U d U !d h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! h c & U ! a h & U ! d a F d & U ! b U b U !b c & U ! c U c U !c h & U ! h U h U !h a U ! a U a U !a d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c b & U ! h c & U ! d h & U ! a d F a & U ! b U b U !b c & U ! c U c U !c h & U ! h U h U !h d U ! d U d U !d a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! a d & U ! c a & U ! h c F h & U ! b U b U !b d & U ! d U d U !d a & U ! a U a U !a c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! a d & U ! h a & U ! c h F c & U ! b U b U !b d & U ! d U d U !d a & U ! a U a U !a h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! c d & U ! a c & U ! h a F h & U ! b U b U !b d & U ! d U d U !d c & U ! c U c U !c a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! c d & U ! h c & U ! a h F a & U ! b U b U !b d & U ! d U d U !d c & U ! c U c U !c h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! h d & U ! a h & U ! c a F c & U ! b U b U !b d & U ! d U d U !d h & U ! h U h U !h a U ! a U a U !a c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d b & U ! h d & U ! c h & U ! a c F a & U ! b U b U !b d & U ! d U d U !d h & U ! h U h U !h c U ! c U c U !c a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! a h & U ! c a & U ! d c F d & U ! b U b U !b h & U ! h U h U !h a & U ! a U a U !a c U ! c U c U !c d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! a h & U ! d a & U ! c d F c & U ! b U b U !b h & U ! h U h U !h a & U ! a U a U !a d U ! d U d U !d c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! c h & U ! a c & U ! d a F d & U ! b U b U !b h & U ! h U h U !h c & U ! c U c U !c a U ! a U a U !a d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! c h & U ! d c & U ! a d F a & U ! b U b U !b h & U ! h U h U !h c & U ! c U c U !c d U ! d U d U !d a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! d h & U ! a d & U ! c a F c & U ! b U b U !b h & U ! h U h U !h d & U ! d U d U !d a U ! a U a U !a c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h b & U ! d h & U ! c d & U ! a c F a & U ! b U b U !b h & U ! h U h U !h d & U ! d U d U !d c U ! c U c U !c a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! b a & U ! d b & U ! h d F h & U ! c U c U !c a & U ! a U a U !a b & U ! b U b U !b d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! b a & U ! h b & U ! d h F d & U ! c U c U !c a & U ! a U a U !a b & U ! b U b U !b h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! d a & U ! b d & U ! h b F h & U ! c U c U !c a & U ! a U a U !a d & U ! d U d U !d b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! d a & U ! h d & U ! b h F b & U ! c U c U !c a & U ! a U a U !a d & U ! d U d U !d h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! h a & U ! b h & U ! d b F d & U ! c U c U !c a & U ! a U a U !a h & U ! h U h U !h b U ! b U b U !b d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a c & U ! h a & U ! d h & U ! b d F b & U ! c U c U !c a & U ! a U a U !a h & U ! h U h U !h d U ! d U d U !d b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! a b & U ! d a & U ! h d F h & U ! c U c U !c b & U ! b U b U !b a & U ! a U a U !a d U ! d U d U !d h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! a b & U ! h a & U ! d h F d & U ! c U c U !c b & U ! b U b U !b a & U ! a U a U !a h U ! h U h U !h d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! d b & U ! a d & U ! h a F h & U ! c U c U !c b & U ! b U b U !b d & U ! d U d U !d a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! d b & U ! h d & U ! a h F a & U ! c U c U !c b & U ! b U b U !b d & U ! d U d U !d h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! h b & U ! a h & U ! d a F d & U ! c U c U !c b & U ! b U b U !b h & U ! h U h U !h a U ! a U a U !a d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b c & U ! h b & U ! d h & U ! a d F a & U ! c U c U !c b & U ! b U b U !b h & U ! h U h U !h d U ! d U d U !d a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! a d & U ! b a & U ! h b F h & U ! c U c U !c d & U ! d U d U !d a & U ! a U a U !a b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! a d & U ! h a & U ! b h F b & U ! c U c U !c d & U ! d U d U !d a & U ! a U a U !a h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! b d & U ! a b & U ! h a F h & U ! c U c U !c d & U ! d U d U !d b & U ! b U b U !b a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! b d & U ! h b & U ! a h F a & U ! c U c U !c d & U ! d U d U !d b & U ! b U b U !b h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! h d & U ! a h & U ! b a F b & U ! c U c U !c d & U ! d U d U !d h & U ! h U h U !h a U ! a U a U !a b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! d c & U ! h d & U ! b h & U ! a b F a & U ! c U c U !c d & U ! d U d U !d h & U ! h U h U !h b U ! b U b U !b a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! a h & U ! b a & U ! d b F d & U ! c U c U !c h & U ! h U h U !h a & U ! a U a U !a b U ! b U b U !b d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! a h & U ! d a & U ! b d F b & U ! c U c U !c h & U ! h U h U !h a & U ! a U a U !a d U ! d U d U !d b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! b h & U ! a b & U ! d a F d & U ! c U c U !c h & U ! h U h U !h b & U ! b U b U !b a U ! a U a U !a d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! b h & U ! d b & U ! a d F a & U ! c U c U !c h & U ! h U h U !h b & U ! b U b U !b d U ! d U d U !d a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! d h & U ! a d & U ! b a F b & U ! c U c U !c h & U ! h U h U !h d & U ! d U d U !d a U ! a U a U !a b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h c & U ! d h & U ! b d & U ! a b F a & U ! c U c U !c h & U ! h U h U !h d & U ! d U d U !d b U ! b U b U !b a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! b a & U ! c b & U ! h c F h & U ! d U d U !d a & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! b a & U ! h b & U ! c h F c & U ! d U d U !d a & U ! a U a U !a b & U ! b U b U !b h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! c a & U ! b c & U ! h b F h & U ! d U d U !d a & U ! a U a U !a c & U ! c U c U !c b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! c a & U ! h c & U ! b h F b & U ! d U d U !d a & U ! a U a U !a c & U ! c U c U !c h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! h a & U ! b h & U ! c b F c & U ! d U d U !d a & U ! a U a U !a h & U ! h U h U !h b U ! b U b U !b c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a d & U ! h a & U ! c h & U ! b c F b & U ! d U d U !d a & U ! a U a U !a h & U ! h U h U !h c U ! c U c U !c b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! a b & U ! c a & U ! h c F h & U ! d U d U !d b & U ! b U b U !b a & U ! a U a U !a c U ! c U c U !c h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! a b & U ! h a & U ! c h F c & U ! d U d U !d b & U ! b U b U !b a & U ! a U a U !a h U ! h U h U !h c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! c b & U ! a c & U ! h a F h & U ! d U d U !d b & U ! b U b U !b c & U ! c U c U !c a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! c b & U ! h c & U ! a h F a & U ! d U d U !d b & U ! b U b U !b c & U ! c U c U !c h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! h b & U ! a h & U ! c a F c & U ! d U d U !d b & U ! b U b U !b h & U ! h U h U !h a U ! a U a U !a c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! b d & U ! h b & U ! c h & U ! a c F a & U ! d U d U !d b & U ! b U b U !b h & U ! h U h U !h c U ! c U c U !c a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! a c & U ! b a & U ! h b F h & U ! d U d U !d c & U ! c U c U !c a & U ! a U a U !a b U ! b U b U !b h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! a c & U ! h a & U ! b h F b & U ! d U d U !d c & U ! c U c U !c a & U ! a U a U !a h U ! h U h U !h b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! b c & U ! a b & U ! h a F h & U ! d U d U !d c & U ! c U c U !c b & U ! b U b U !b a U ! a U a U !a h
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! b c & U ! h b & U ! a h F a & U ! d U d U !d c & U ! c U c U !c b & U ! b U b U !b h U ! h U h U !h a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! h c & U ! a h & U ! b a F b & U ! d U d U !d c & U ! c U c U !c h & U ! h U h U !h a U ! a U a U !a b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! c d & U ! h c & U ! b h & U ! a b F a & U ! d U d U !d c & U ! c U c U !c h & U ! h U h U !h b U ! b U b U !b a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! a h & U ! b a & U ! c b F c & U ! d U d U !d h & U ! h U h U !h a & U ! a U a U !a b U ! b U b U !b c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! a h & U ! c a & U ! b c F b & U ! d U d U !d h & U ! h U h U !h a & U ! a U a U !a c U ! c U c U !c b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! b h & U ! a b & U ! c a F c & U ! d U d U !d h & U ! h U h U !h b & U ! b U b U !b a U ! a U a U !a c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! b h & U ! c b & U ! a c F a & U ! d U d U !d h & U ! h U h U !h b & U ! b U b U !b c U ! c U c U !c a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! c h & U ! a c & U ! b a F b & U ! d U d U !d h & U ! h U h U !h c & U ! c U c U !c a U ! a U a U !a b
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! h d & U ! c h & U ! b c & U ! a b F a & U ! d U d U !d h & U ! h U h U !h c & U ! c U c U !c b U ! b U b U !b a
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a h & U ! b a & U ! c b & U ! d c F d & U ! h U h U !h a & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a h & U ! b a & U ! d b & U ! c d F c & U ! h U h U !h a & U ! a U a U !a b & U ! b U b U !b d U ! d U d U !d c
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a h & U ! c a & U ! b c & U ! d b F d & U ! h U h U !h a & U ! a U a U !a c & U ! c U c U !c b U ! b U b U !b d
do not visit h until you visit d. visit d only once. do not visit d until you visit c. visit c only once. do not visit c until you visit b. visit b only once. do no visit b until you visit a. visit a only once,& & U ! a h & U ! c a & U ! d c & U ! b d F b & U ! h U h U !h a & U ! a U a U !a c & U ! c U c U !c d U ! d U d U !d b
